Disease,Gene,Gene_Name,Age_Of_Onset,Inheritance_Type
Williams syndrome,CLIP2,CAP-Gly domain containing linker protein 2,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,ELN,elastin,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,GTF2I,general transcription factor IIi,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,GTF2IRD1,GTF2I repeat domain containing 1,"Antenatal, Neonatal",Autosomal dominant
Williams syndrome,LIMK1,LIM domain kinase 1,"Antenatal, Neonatal",Autosomal dominant
Wolf-Hirschhorn syndrome,PIGG,phosphatidylinositol glycan anchor biosynthesis class G (EMM blood group),"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
Wolf-Hirschhorn syndrome,CPLX1,complexin 1,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
Wolf-Hirschhorn syndrome,CTBP1,C-terminal binding protein 1,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
Wolf-Hirschhorn syndrome,NSD2,nuclear receptor binding SET domain protein 2,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
Wolf-Hirschhorn syndrome,NELFA,negative elongation factor complex member A,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
Wolf-Hirschhorn syndrome,LETM1,leucine zipper and EF-hand containing transmembrane protein 1,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
Achondroplasia,FGFR3,fibroblast growth factor receptor 3,"Antenatal, Neonatal",Autosomal dominant
Ataxia with vitamin E deficiency,TTPA,alpha tocopherol transfer protein,All ages,Autosomal recessive
Dentatorubral pallidoluysian atrophy,ATN1,atrophin 1,All ages,Autosomal dominant
T-B+ severe combined immunodeficiency due to gamma chain deficiency,IL2RG,interleukin 2 receptor subunit gamma,Neonatal,X-linked recessive
Kennedy disease,AR,androgen receptor,Adult,X-linked recessive
Ornithine transcarbamylase deficiency,OTC,ornithine transcarbamylase,All ages,X-linked recessive
Homocystinuria due to cystathionine beta-synthase deficiency,CBS,cystathionine beta-synthase,"Adolescent, Adult, Childhood",Autosomal recessive
Donohue syndrome,INSR,insulin receptor,"Antenatal, Neonatal",Autosomal recessive
Hemoglobin Bart's fetalis syndrome,HBA2,hemoglobin subunit alpha 2,"Antenatal, Neonatal",Autosomal recessive
Hemoglobin Bart's fetalis syndrome,HBA1,hemoglobin subunit alpha 1,"Antenatal, Neonatal",Autosomal recessive
Hypochondroplasia,FGFR3,fibroblast growth factor receptor 3,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant
Leber hereditary optic neuropathy,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,DNAJC30,DnaJ heat shock protein family (Hsp40) member C30,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,MT-CO1,mitochondrially encoded cytochrome c oxidase I,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,MT-CO3,mitochondrially encoded cytochrome c oxidase III,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,MT-CYB,mitochondrially encoded cytochrome b,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,"Adolescent, Adult",Mitochondrial inheritance
Leber hereditary optic neuropathy,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,"Adolescent, Adult",Mitochondrial inheritance
Hydrocephalus with stenosis of the aqueduct of Sylvius,L1CAM,L1 cell adhesion molecule,"Antenatal, Neonatal",X-linked recessive
Maffucci syndrome,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Childhood,Not applicable
Maffucci syndrome,IDH1,isocitrate dehydrogenase (NADP(+)) 1,Childhood,Not applicable
Familial mesial temporal lobe epilepsy,CPA6,carboxypeptidase A6,"Adolescent, Adult",Autosomal dominant
Norrie disease,NDP,norrin cystine knot growth factor NDP,"Antenatal, Neonatal",X-linked recessive
Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,TBC1D24,TBC1 domain family member 24,Infancy,Autosomal recessive
Rolandic epilepsy-speech dyspraxia syndrome,SRPX2,sushi repeat containing protein X-linked 2,"Antenatal, Infancy, Neonatal","Autosomal dominant, X-linked dominant"
Rolandic epilepsy-speech dyspraxia syndrome,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,"Antenatal, Infancy, Neonatal","Autosomal dominant, X-linked dominant"
Leukoencephalopathy-dystonia-motor neuropathy syndrome,SCP2,sterol carrier protein 2,Childhood,Autosomal recessive
CNTNAP2-related developmental and epileptic encephalopathy,CNTNAP2,contactin associated protein 2,Infancy,Autosomal recessive
Chronic granulomatous disease,CYBB,cytochrome b-245 beta chain,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, X-linked recessive"
Chronic granulomatous disease,NCF1,neutrophil cytosolic factor 1,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, X-linked recessive"
Chronic granulomatous disease,NCF2,neutrophil cytosolic factor 2,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, X-linked recessive"
Chronic granulomatous disease,CYBA,cytochrome b-245 alpha chain,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, X-linked recessive"
Chronic granulomatous disease,NCF4,neutrophil cytosolic factor 4,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, X-linked recessive"
Chronic granulomatous disease,CYBC1,cytochrome b-245 chaperone 1,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, X-linked recessive"
Blue cone monochromatism,OPN1MW,"opsin 1, medium wave sensitive",Infancy,X-linked recessive
Blue cone monochromatism,OPN1LW,"opsin 1, long wave sensitive",Infancy,X-linked recessive
NARP syndrome,MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6,Childhood,Mitochondrial inheritance
Alveolar soft tissue sarcoma,TFE3,transcription factor binding to IGHM enhancer 3,All ages,Not applicable
Alveolar soft tissue sarcoma,ASPSCR1,"ASPSCR1 tether for SLC2A4, UBX domain containing",All ages,Not applicable
Full NF2-related schwannomatosis,NF2,"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor",All ages,Autosomal dominant
Action myoclonus-renal failure syndrome,SCARB2,scavenger receptor class B member 2,"Adolescent, Adult",Autosomal recessive
X-linked hypohidrotic ectodermal dysplasia,EDA,ectodysplasin A,"Childhood, Infancy",X-linked recessive
X-linked hypohidrotic ectodermal dysplasia,EDA2R,ectodysplasin A2 receptor,"Childhood, Infancy",X-linked recessive
2p21 microdeletion syndrome,SLC3A1,solute carrier family 3 member 1,"Infancy, Neonatal",Autosomal recessive
2p21 microdeletion syndrome,PREPL,prolyl endopeptidase like,"Infancy, Neonatal",Autosomal recessive
2p21 microdeletion syndrome,CAMKMT,calmodulin-lysine N-methyltransferase,"Infancy, Neonatal",Autosomal recessive
2p21 microdeletion syndrome,PPM1B,"protein phosphatase, Mg2+/Mn2+ dependent 1B","Infancy, Neonatal",Autosomal recessive
Hypotonia-cystinuria syndrome,SLC3A1,solute carrier family 3 member 1,"Infancy, Neonatal",Autosomal recessive
Hypotonia-cystinuria syndrome,PREPL,prolyl endopeptidase like,"Infancy, Neonatal",Autosomal recessive
Fibrodysplasia ossificans progressiva,ACVR1,activin A receptor type 1,Childhood,"Autosomal dominant, Not applicable"
Gorlin syndrome,PTCH1,patched 1,"Adolescent, Adult",Autosomal dominant
Gorlin syndrome,SUFU,SUFU negative regulator of hedgehog signaling,"Adolescent, Adult",Autosomal dominant
Gorlin syndrome,PTCH2,patched 2,"Adolescent, Adult",Autosomal dominant
Noonan syndrome,RRAS,RAS related,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,MRAS,muscle RAS oncogene homolog,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,SPRED2,sprouty related EVH1 domain containing 2,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,RRAS2,RAS related 2,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,PTPN11,protein tyrosine phosphatase non-receptor type 11,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,CBL,Cbl proto-oncogene,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,KRAS,"KRAS proto-oncogene, GTPase","Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase","Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,NRAS,"NRAS proto-oncogene, GTPase","Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,RIT1,Ras like without CAAX 1,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,LZTR1,leucine zipper like post translational regulator 1,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,RASA2,RAS p21 protein activator 2,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Noonan syndrome,BRAF,"B-Raf proto-oncogene, serine/threonine kinase","Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Monosomy 5p syndrome,SEMA5A,semaphorin 5A,Antenatal,"Not applicable, Unknown"
Monosomy 5p syndrome,CTNND2,catenin delta 2,Antenatal,"Not applicable, Unknown"
"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",HSD17B3,hydroxysteroid 17-beta dehydrogenase 3,"Adolescent, Neonatal",Autosomal recessive
Lesch-Nyhan syndrome,HPRT1,hypoxanthine phosphoribosyltransferase 1,Infancy,X-linked recessive
Li-Fraumeni syndrome,CDKN2A,cyclin dependent kinase inhibitor 2A,All ages,Autosomal dominant
Li-Fraumeni syndrome,MDM2,MDM2 proto-oncogene,All ages,Autosomal dominant
Li-Fraumeni syndrome,TP53,tumor protein p53,All ages,Autosomal dominant
Li-Fraumeni syndrome,CHEK2,checkpoint kinase 2,All ages,Autosomal dominant
Hereditary neuropathy with liability to pressure palsies,PMP22,peripheral myelin protein 22,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
Alpha-1-antitrypsin deficiency,SERPINA1,serpin family A member 1,All ages,Autosomal recessive
Waardenburg syndrome type 2,KITLG,KIT ligand,Neonatal,Autosomal dominant
Waardenburg syndrome type 2,TYR,tyrosinase,Neonatal,Autosomal dominant
Waardenburg syndrome type 2,SNAI2,snail family transcriptional repressor 2,Neonatal,Autosomal dominant
Waardenburg syndrome type 2,SOX10,SRY-box transcription factor 10,Neonatal,Autosomal dominant
Waardenburg syndrome type 2,MITF,melanocyte inducing transcription factor,Neonatal,Autosomal dominant
Waardenburg syndrome type 2,EDNRB,endothelin receptor type B,Neonatal,Autosomal dominant
Waardenburg syndrome type 3,PAX3,paired box 3,Neonatal,"Autosomal dominant, Autosomal recessive"
Townes-Brocks syndrome,SALL1,spalt like transcription factor 1,All ages,Autosomal dominant
Townes-Brocks syndrome,DACT1,dishevelled binding antagonist of beta catenin 1,All ages,Autosomal dominant
Waardenburg syndrome type 1,PAX3,paired box 3,Neonatal,Autosomal dominant
Hyperkalemic periodic paralysis,SCN4A,sodium voltage-gated channel alpha subunit 4,Childhood,Autosomal dominant
Schwartz-Jampel syndrome,HSPG2,heparan sulfate proteoglycan 2,"Infancy, Neonatal",Autosomal recessive
Diastrophic dysplasia,SLC26A2,solute carrier family 26 member 2,"Antenatal, Neonatal",Autosomal recessive
Hypokalemic periodic paralysis,SCN4A,sodium voltage-gated channel alpha subunit 4,"Adolescent, Childhood",Autosomal dominant
Hypokalemic periodic paralysis,CACNA1S,calcium voltage-gated channel subunit alpha1 S,"Adolescent, Childhood",Autosomal dominant
Hypokalemic periodic paralysis,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3,"Adolescent, Childhood",Autosomal dominant
BOR syndrome,SIX1,SIX homeobox 1,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant
BOR syndrome,EYA1,EYA transcriptional coactivator and phosphatase 1,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant
BOR syndrome,SIX5,SIX homeobox 5,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant
Hereditary hemorrhagic telangiectasia,ACVRL1,activin A receptor like type 1,All ages,Autosomal dominant
Hereditary hemorrhagic telangiectasia,SMAD4,SMAD family member 4,All ages,Autosomal dominant
Hereditary hemorrhagic telangiectasia,ENG,endoglin,All ages,Autosomal dominant
Hereditary hemorrhagic telangiectasia,GDF2,growth differentiation factor 2,All ages,Autosomal dominant
Saethre-Chotzen syndrome,FGFR3,fibroblast growth factor receptor 3,"Antenatal, Neonatal",Autosomal dominant
Saethre-Chotzen syndrome,FGFR2,fibroblast growth factor receptor 2,"Antenatal, Neonatal",Autosomal dominant
Saethre-Chotzen syndrome,TWIST1,twist family bHLH transcription factor 1,"Antenatal, Neonatal",Autosomal dominant
Peutz-Jeghers syndrome,STK11,serine/threonine kinase 11,"Adolescent, Adult, Childhood",Autosomal dominant
WAGR syndrome,WT1,WT1 transcription factor,"Antenatal, Neonatal",Autosomal dominant
WAGR syndrome,PAX6,paired box 6,"Antenatal, Neonatal",Autosomal dominant
WAGR syndrome,BDNF,brain derived neurotrophic factor,"Antenatal, Neonatal",Autosomal dominant
Zellweger syndrome,PEX11B,peroxisomal biogenesis factor 11 beta,Neonatal,Autosomal recessive
Zellweger syndrome,PEX2,peroxisomal biogenesis factor 2,Neonatal,Autosomal recessive
Zellweger syndrome,PEX1,peroxisomal biogenesis factor 1,Neonatal,Autosomal recessive
Zellweger syndrome,PEX10,peroxisomal biogenesis factor 10,Neonatal,Autosomal recessive
Zellweger syndrome,PEX12,peroxisomal biogenesis factor 12,Neonatal,Autosomal recessive
Zellweger syndrome,PEX13,peroxisomal biogenesis factor 13,Neonatal,Autosomal recessive
Zellweger syndrome,PEX14,peroxisomal biogenesis factor 14,Neonatal,Autosomal recessive
Zellweger syndrome,PEX16,peroxisomal biogenesis factor 16,Neonatal,Autosomal recessive
Zellweger syndrome,PEX19,peroxisomal biogenesis factor 19,Neonatal,Autosomal recessive
Zellweger syndrome,PEX26,peroxisomal biogenesis factor 26,Neonatal,Autosomal recessive
Zellweger syndrome,PEX3,peroxisomal biogenesis factor 3,Neonatal,Autosomal recessive
Zellweger syndrome,PEX5,peroxisomal biogenesis factor 5,Neonatal,Autosomal recessive
Zellweger syndrome,PEX6,peroxisomal biogenesis factor 6,Neonatal,Autosomal recessive
Albers-Schönberg osteopetrosis,CLCN7,chloride voltage-gated channel 7,Childhood,Autosomal dominant
Abetalipoproteinemia,MTTP,microsomal triglyceride transfer protein,"Childhood, Infancy",Autosomal recessive
Chédiak-Higashi syndrome,LYST,lysosomal trafficking regulator,Childhood,Autosomal recessive
Crouzon syndrome,FGFR2,fibroblast growth factor receptor 2,"Antenatal, Infancy, Neonatal",Autosomal dominant
Crouzon syndrome,ERF,ETS2 repressor factor,"Antenatal, Infancy, Neonatal",Autosomal dominant
Cowden syndrome,PTEN,phosphatase and tensin homolog,All ages,Autosomal dominant
Cowden syndrome,USF3,upstream transcription factor family member 3,All ages,Autosomal dominant
Cowden syndrome,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",All ages,Autosomal dominant
Cowden syndrome,SDHB,succinate dehydrogenase complex iron sulfur subunit B,All ages,Autosomal dominant
Cowden syndrome,SDHD,succinate dehydrogenase complex subunit D,All ages,Autosomal dominant
Cowden syndrome,SDHC,succinate dehydrogenase complex subunit C,All ages,Autosomal dominant
Cowden syndrome,SEC23B,"SEC23 homolog B, COPII component",All ages,Autosomal dominant
Cowden syndrome,AKT1,AKT serine/threonine kinase 1,All ages,Autosomal dominant
Cowden syndrome,KLLN,"killin, p53 regulated DNA replication inhibitor",All ages,Autosomal dominant
Coffin-Lowry syndrome,RPS6KA3,ribosomal protein S6 kinase A3,"Childhood, Infancy, Neonatal",X-linked dominant
Mild hemophilia A,F8,coagulation factor VIII,"Infancy, Neonatal",X-linked recessive
Severe hemophilia A,F8,coagulation factor VIII,"Infancy, Neonatal",X-linked recessive
Moderate hemophilia A,F8,coagulation factor VIII,"Infancy, Neonatal",X-linked recessive
McCune-Albright syndrome,GNAS,GNAS complex locus,Childhood,Not applicable
Menkes disease,ATP7A,ATPase copper transporting alpha,Neonatal,X-linked recessive
Jeune syndrome,KIAA0753,KIAA0753,"Antenatal, Neonatal",Autosomal recessive
